Index,Week,Timestamp,Rank,First appear,Watchface Name,Is Sport Tag,Official tags,Link,Watchface Thumbnail,Data Types,displayForm,data+displayForm,onlyIcon,Number of data types,Size of the visualizations,How is data identified,Representations beyond text,What data is visualized as a chart,Proportion data types,Corresponding proportion charts,Proportion Chart,"Graphical decoration(logo,background,screen border,container,divider,logo,design(=foreground graphic))",Animation,UI Style,Official tags,"Watch type (Analog, Digital,Hybrid)",Color Hue (Color except balck white grey),Website,Paid,,Proportion Chart analysis
349,4,04/04/2021 22:00,49,yes,NR-7952 ADVENTURER PRO,TRUE,Realistic;adventure;adventurer;travel;plane;aeronautical;dark;black;elegant;sport;stylish;compass;customizable;,https://www.facer.io/watchface/BwYSTki30A?watchModel=armaniconnected,,time;date;compass;steps;watch battery;horizon;,icon+text;chart+text;chart+text;icon+text;,compass=icon+text;steps=chart+text;watch battery=chart+text;horizon=icon+text;,none;,4,,,,steps;watch battery;horizon;,watch battery;steps;,gauge;gauge;,gauge;,logo;background;container;design;,no;,skeuomorphism,Realistic;adventure;adventurer;travel;plane;aeronautical;dark;black;elegant;sport;stylish;compass;customizable;,analog,1,Facer,Premium,,gauge;
375,4,04/04/2021 22:00,75,yes,ZK_TR107,TRUE,Elegant;fun;sports;colorful;auto;digital;analog;zhnkrdg;,https://www.facer.io/watchface/63FNAGnEO3?watchModel=galaxywatch3,,time;watch battery;,icon+text;,watch battery=icon+text;,none;,1,,,,no;,watch battery;,text;,no;,logo;screen border;container;design;,no;,skeuomorphism,Elegant;fun;sports;colorful;auto;digital;analog;zhnkrdg;,hybrid,2,Facer,Premium,,no;
1,,14/03/2021 22:00,1,yes,Watch Dogs: Legion - ctOS,FALSE,Official Brands;ubisoft;watch dogs;ctos;digital;,https://www.facer.io/watchface/0zJDxtumzW?watchModel=fossilgen5e,,time;date;day;watch battery;weather;steps;heart rate;temperature;location;,chart+text;icon+text;chart+text;icon+text;text;text;,,none;,6,small,labels;icon;text-as-data content;values;data shape/symbol,weather icon,watch battery;steps;,watch battery;steps;,pie+text;pie;,pie;,logo;background;screen border;container;,decoration;,flat,Official Brands;ubisoft;watch dogs;ctos;digital;,digital,1,Facer,Premium,6,pie;
2,1,14/03/2021 22:00,2,yes,Ghost X5,FALSE,Realistic;,https://www.facer.io/watchface/ZBFu4GFwyJ?watchModel=armaniconnected,,time;date;day;watch battery;weather;steps;heart rate;temperature;location;,chart+text;icon+text;text;icon+text;text;text;,watch battery=chart+text;weather=icon+text;steps=text;heart rate=icon+text;temperature=text;location=text;,none;,6,small,data shape/symbol;label;text-as-data content,weather icon,watch battery;,watch battery;,bar within icon+text;,icon+bar;,logo;screen border;container;,decoration;,skeuomorphism,Realistic;,hybrid,1,Facer,Premium,,icon+bar;
3,1,14/03/2021 22:00,3,yes,S.O.E. Roadster Wimille,FALSE,Realistic;trafford;watch;company;soe;roadster;race;real;mechanical;brand;stripes;wimille;grover;william;sbenoist;spies;british;,https://www.facer.io/watchface/Ya6BNAMwFm?watchModel=armaniconnected,,time;date;stopwatch;,none;,none;,none;,0,-,familiar representation;label,,no;,no;,no;,no;,logo;background;container;,no;,skeuomorphism,Realistic;trafford;watch;company;soe;roadster;race;real;mechanical;brand;stripes;wimille;grover;william;sbenoist;spies;british;,analog,2,Facer,Premium,,no;
6,1,14/03/2021 22:00,6,yes,CFW Digital AW01,FALSE,Elegant;aniweather;animated;moonphases;,https://www.facer.io/watchface/F92Bsd3BOa?watchModel=galaxywatch3,,time;date;day;watch battery;wind speed;wind direction;moon;weather;temperature;humidity;heart rate;steps;,text;icon+text;icon;chart;icon;text;chart+icon;icon+text;chart+icon+text;,watch battery=text;wind speed=icon+text;wind direction=icon;moon=chart;weather=icon(rainy day image);temperature=text;humidity=chart+icon;heart rate=icon+text;steps=chart+icon+text;,wind direction;weather;,9,moderate,text-as-label;icon-as-label;,weather image,wind direction;steps;humidity;weather;,steps;humidity;,donut;donut;,donut;,logo;screen border;container;,heart rate;weather;,skeuomorphism,Elegant;aniweather;animated;moonphases;,digital,3,Facer,Premium,,donut;
8,1,14/03/2021 22:00,8,yes,GAUSS-Apache,FALSE,Military;gauss;apache;ah-64;aviation;pilot;helicopter;analog time;24h;attitude indicator;compass;setp counter;heartrate;battery level;date;weather;,https://www.facer.io/watchface/Ff96PF0bdp?watchModel=gears3,,time;date;day;watch battery;steps;heart rate;compass;horizon;,icon+text;text;icon+text;icon+text;icon;,watch battery=icon+text;steps=text;heart rate=icon+text;compass=icon+text;horizon/altiitude indicator=icon;,horizon;,5,moderate,text-as-label;,,heart rate;watch battery;attitude indicator;compass;,watch battery;,text;,no;,logo;container;,no;,skeuomorphism,Military;gauss;apache;ah-64;aviation;pilot;helicopter;analog time;24h;attitude indicator;compass;setp counter;heartrate;battery level;date;weather;,analog,4,Facer,Premium,,no;
10,1,14/03/2021 22:00,10,yes,HUD CRISTAL +,FALSE,Abstract abstractnewinfographiccooldigitalcolorseek.,https://www.facer.io/watchface/LEvjrgjELU?watchModel=moto3602,,time;date;day;location;temperature;heart rate;steps;distance;watch battery;phone battery;,text;text;icon+text;chart+text;chart+text;chart+text;chart+text;,location=text;temperature=text;heart rate=icon+text;steps=chart+text;distance=chart+text;watch battery=chart+text;phone battery=chart+text;,none;,7,moderate,text-as-label;data-as-value;data-as-symbol;text-as-data-unit,,hour;minute;second;steps;distance;watch battery;phone battery;,watch battery;steps;phone battery;distance;,gauge+text;discrete arc;gauge+text;discrete arc;,gauge;arc+pictogram;,container;,no;,semi-flat,Abstract abstractnewinfographiccooldigitalcolorseek.,digital,2,Facer,Premium,,gauge;arc+pictogram;
11,1,14/03/2021 22:00,11,yes,RZ237,FALSE,Elegant;big;clear;automatic;night icons;rzwatchfaces;,https://www.facer.io/watchface/DKeHGJ5nmK?watchModel=galaxyactive2,,time;date;day;watch battery;weather;steps;heart rate;moon;temperature;distance;,icon+text;icon;icon+text;text;chart;text;text;,watch battery=icon+text;weather=icon;steps=icon+text;heart rate=text;moon=chart;temperature=text;distance=text;,weather;,7,big,text-as-label;icon-as-label;icon-as-data;data-symbol;data-highlight;,weather-icon,watch battery;day;,watch battery;,text;,arc+pictogram;,logo;divider;,no;,flat,Elegant;big;clear;automatic;night icons;rzwatchfaces;,digital,1,Facer,Premium,,arc+pictogram;
12,1,14/03/2021 22:00,12,yes,SPLITTER,FALSE,Lifestyle;,https://www.facer.io/watchface/lLVdsMSy0R?watchModel=armaniconnected,,time;date;day;watch battery;weather;steps;heart rate;temperature;,icon+text;icon;icon+text;icon+text;text;,watch battery=icon+text;weather=icon;steps=icon+text;heart rate=icon+text;temperature=text;,weather;,5,,icon-as-label;icon-as-data;data-symbol;,weather-icon,no;,watch battery;,text;,no;,logo;background;container;,heart rate;watch battery;decoration;,skeuomorphism,Lifestyle;,hybrid,2,Facer,Premium,,no;
16,1,14/03/2021 22:00,16,yes,VOLTRON,FALSE,Lifestyle;,https://www.facer.io/watchface/k5nYQuC6Jo?watchModel=armaniconnected,,time;date;day;watch battery;temperature;,icon+text;text;,watch battery=icon+text;temperature=text;,none;,2,,icon-as-label;data-symbol,,no;,watch battery;,text;,no;,background;container;,decoration;,skeuomorphism,Lifestyle;,hybrid,2,Facer,Premium,,no;
17,1,14/03/2021 22:00,17,yes,TRUPAL,FALSE,Lifestyle;,https://www.facer.io/watchface/p3E4Cvt8bl?watchModel=armaniconnected,,time;date;day;watch battery;weather;temperature;,text;icon;text;,watch battery=text;weather=icon;temperature=text;,weather;,3,small,text-as-label; icon-as-data,weather-con,watch battery;,watch battery;,text;,no;,background;container;,decoration;,skeuomorphism,Lifestyle;,digital,2,Facer,Premium,,no;
19,1,14/03/2021 22:00,19,yes,Straton Syncro Watch,FALSE,Watchmaker Series;straton;analog;chronograph;,https://www.facer.io/watchface/c6FdWSJm7f?watchModel=skagenfalster2,,time;date;,none;,none;,none;,0,,familiar-representation,,hour;minute;,no;,no;,no;,logo;background;container;,no;,skeuomorphism,Watchmaker Series;straton;analog;chronograph;,analog,1,Facer,Premium,,no;
20,1,14/03/2021 22:00,20,yes,GROOVY TIME,FALSE,Fun;,https://www.facer.io/watchface/CJFv1jhCY6?watchModel=armaniconnected,,time;date;day;heart rate;watch battery;,icon+text;text;,heart rate=icon+text;watch battery=text;,none;,2,,text-as-label;icon-as-label,,no;,watch battery;,text;,no;,design;,heart rate;,skeuomorphism,Fun;,digital,4,Facer,Premium,,no;
21,1,14/03/2021 22:00,21,yes,Travel by Orakix,FALSE,Realistic;orakix;dual;utc;time zone;travel;digital;analog;,https://www.facer.io/watchface/aM1GRqzYLD?watchModel=montblancsummit2,,time;time zone;sun;watch battery;steps;phone battery;heart rate;distance;date;day;moon;weather;temperature;humidity;location;,text;icon+text;icon+text;icon+text;icon+text;icon+text;icon+text;chart;icon;text;icon+text;text;,time zone=text;sun=icon+text;watch battery=icon+text;steps=icon+text;phone battery=icon+text;heart rate=icon+text;distance=icon+text;moon=chart;weather=icon;temperature=text;humidity=icon+text;location=text;,weather;,12,,icon-as-label;text-as-label;,weather-icon,no;,watch battery;phone battery;,text;text;,no;,container;,decoration;,skeuomorphism,Realistic;orakix;dual;utc;time zone;travel;digital;analog;,hybrid,1,Facer,Premium,,no;
22,1,14/03/2021 22:00,22,yes,WENTA,FALSE,Lifestyle;,https://www.facer.io/watchface/5jzb8hsNaN?watchModel=armaniconnected,,time;date;day;temperature;watch battery;weather;,text;text;icon;,temperature=text;watch battery=text;weather=icon;,weather;,3,,text-as-label;data-as-value;data-symbol,,no;,watch battery;,text;,no;,container;,no;,semi-flat,Lifestyle;,digital,1,Facer,Premium,,no;
23,1,14/03/2021 22:00,23,yes,Watch Dogs: Legion Characters,FALSE,Official Brands;ubisoft;video games;watch dogs;digital;,https://www.facer.io/watchface/g3a09ktHUe?watchModel=fossilqmarshal,,time;watch battery;steps;location;,chart+text;chart+text;text;,watch battery=chart+text;steps=chart+text;location=text;,none;,3,moderate,text-as-label;,,watch battery;steps;,watch battery;steps;,pie+text;pie;,pie;,logo;background;,no;,flat,Official Brands;ubisoft;video games;watch dogs;digital;,digital,3,Facer,Premium,,pie;
25,1,14/03/2021 22:00,25,yes,Watch Dogs: Legion - Albion,FALSE,Official Brands;ubisoft;watch dogs;video games;military;analog;,https://www.facer.io/watchface/QdVZVj9K4v?watchModel=urbanelte,,time;date;day;watch battery;,icon+text;,watch battery=icon+text;,none;,1,,chart-as-label;data-as-value,,watch battery;,watch battery;,bar within icon+text;,icon+bar;,logo;screen border;container;design;,no;,skeuomorphism,Official Brands;ubisoft;watch dogs;video games;military;analog;,hybrid,1,Facer,Premium,,icon+bar;
26,1,14/03/2021 22:00,26,yes,Ghost X4,FALSE,Military;realistic;dark;black;gray;stealth;simple;clear;large;illuminated;lights;lit;hybrid;analog;digital;battery;date;weather;steps;heart;bpm;health;custom;military;,https://www.facer.io/watchface/Muk8lHMg6q?watchModel=armaniconnected,,time;date;day;watch battery;weather;temperature;steps;heart rate;altitude;wind speed;,chart+text;icon;text;text;text;text;text;,watch battery=chart+text;weather=icon;temperature=text;steps=text;heart rate=text;altitude=text;wind speed=text;,weather;,7,small,text-as-label; chart-as-data; icon-as-data,,steps;watch battery;second;millisecond;,watch battery;steps;,bar within icon+text;bar;,bar;icon+bar;,logo;screen border;container;,decoration;,semi-flat,Military;realistic;dark;black;gray;stealth;simple;clear;large;illuminated;lights;lit;hybrid;analog;digital;battery;date;weather;steps;heart;bpm;health;custom;military;,hybrid,1,Facer,Premium,,bar;icon+bar;
27,1,14/03/2021 22:00,27,yes,Cyberpunk_Orbital,FALSE,Abstract;abstract;futuristic;retro;cyberpunk;dark;digital;minimal;,https://www.facer.io/watchface/YKc5FYrCeY?watchModel=armaniconnected,,time;date;day;temperature;weather;watch battery;phone battery;,chart+text;icon;text;text;,temperature=chart+text;weather=icon;watch battery=text;phone battery=text;,weather;,4,,chart-as-data; text-as-label; icon-as-data,weather-icon,second;hour;watch battery;,no;,no;,bar+pictogram;,container;,decoration;,skeuomorphism,Abstract;abstract;futuristic;retro;cyberpunk;dark;digital;minimal;,digital,4,Facer,Premium,,bar+pictogram;
29,1,14/03/2021 22:00,29,yes,GAUGE 3.0 +,FALSE,Abstract;new;gauge;digital;color;cool;,https://www.facer.io/watchface/eePspgbvSx?watchModel=moto3602,,time;date;day;watch battery;phone battery;temperature;steps;heart rate;sun;,chart+text;chart+text;text;icon+text;icon+text;icon+text;,watch battery=chart+text;phone battery=chart+text;temperature=text;steps=icon+text;heart rate=icon+text;sun=icon+text;,none;,6,,,,watch battery;phone battery;hour;minute;second;month;,watch battery;phone battery;,gauge;gauge;,gauge;,logo;background;container;,heart rate;,semi-flat,Abstract;new;gauge;digital;color;cool;,digital,2,Facer,Premium,,gauge;
30,1,14/03/2021 22:00,30,yes,BATWOLF Quark,FALSE,Futuristic;,https://www.facer.io/watchface/MaTxFKUU2I?watchModel=armaniconnected,,time;date;day;watch battery;weather;steps;moon;temperature;,chart+icon;icon;chart+icon;chart;text;,watch battery=chart+icon;weather=icon;steps=chart+icon;moon=chart;temperature=text;,weather;,5,,,,watch battery;steps;,no;,no;,arc+pictogram;,logo;background;screen border;container;,no;,skeuomorphism,Futuristic;,hybrid,1,Facer,Premium,,arc+pictogram;
31,1,14/03/2021 22:00,31,yes,REACTOR,FALSE,Lifestyle;,https://www.facer.io/watchface/ujwlUsNiYP?watchModel=armaniconnected,,time;date;day;watch battery;steps;heart rate;,icon+text;text;text;,"watch battery=icon+text;steps=text;heart rate=text;
",none;,3,,,,heart rate;steps;,watch battery;steps;heart rate;,text;sliding;sliding;,sliding;,screen border;container;,decoration;,skeuomorphism,Lifestyle;,hybrid,2,Facer,Premium,,sliding;
32,1,14/03/2021 22:00,32,yes,RZ234,FALSE,Fun;,https://www.facer.io/watchface/dR5eB0AXpH?watchModel=galaxyactive2,,time;date;day;watch battery;steps;temperature;,icon+text;icon+text;text;,watch battery=icon+text;steps=icon+text;temperature=text;,none;,3,,,,no;,watch battery;,text;,no;,background;container;,no;,semi-flat,Fun;,digital,2,Facer,Premium,,no;
34,1,14/03/2021 22:00,34,yes,Reserve d'Harmonie,FALSE,Realistic;analog;silver;chronometer;automatic;themeable;day;date;battery;,https://www.facer.io/watchface/lJj0Uh59Mn?watchModel=moto360,,time;date;day;watch battery;,chart;,watch battery=chart;,none;,1,,,,watch battery;,watch battery;,gauge;,gauge;,logo;background;container;,no;,skeuomorphism,Realistic;analog;silver;chronometer;automatic;themeable;day;date;battery;,analog,1,Facer,Premium,,gauge;
35,1,14/03/2021 22:00,35,yes,MB123 +,FALSE,Abstract;new;calendar;yellow;minimal;digital;,https://www.facer.io/watchface/BWzfF7Mpsb?watchModel=moto3602,,time;date;day;temperature;weather;heart rate;moon;watch battery;steps;location;,text;icon;icon+text;chart;chart+icon+text;icon+text;text;,temperature=text;weather=icon;heart rate=icon+text;moon=chart;watch battery=chart+icon+text;steps=icon+text;location=text;,weather;,7,,,,watch battery;steps;date;day;second;,watch battery;steps;,discrete bar+text;discrete bar;,bar+pictogram;,logo;background;container;,heart rate;,semi-flat,Abstract;new;calendar;yellow;minimal;digital;,digital,1,Facer,Premium,,bar+pictogram;
36,1,14/03/2021 22:00,36,yes,GAUSS-Avionics,FALSE,Realistic;gauss;avionics;aviation;pilot;customizable;customization;analog time;date;24h;watch battery;,https://www.facer.io/watchface/RMi8HvH6UR?watchModel=gears3,,time;date;day;watch battery;,chart+text;,watch battery=chart+text;,none;,1,,,,month;day;watch battery;,watch battery;,gauge;,gauge;,logo;container;,no;,skeuomorphism,Realistic;gauss;avionics;aviation;pilot;customizable;customization;analog time;date;24h;watch battery;,analog,1,Facer,Premium,,gauge;
37,1,14/03/2021 22:00,37,yes,VIENNA STUDIOS | Ocean Drop,FALSE,Luxury;luxury;rich;exclusive;viennastudiosvienna;studios;mechanical;classic;steps;time;date;best;top;most;analog;business;,https://www.facer.io/watchface/59V1YYhHRK?watchModel=armaniconnected,,time;date;watch battery;,chart;,watch battery=chart;,none;,1,,,,watch battery;,watch battery;,bar;,bar;,logo;container;,no;,skeuomorphism,Luxury;luxury;rich;exclusive;viennastudiosvienna;studios;mechanical;classic;steps;time;date;best;top;most;analog;business;,hybrid,1,Facer,Premium,,bar;
39,1,14/03/2021 22:00,39,yes,COMFY,FALSE,Futuristic;,https://www.facer.io/watchface/arvIIlkvMX?watchModel=armaniconnected,,time;date;day;watch battery;heart rate;,chart+icon+text;chart+icon+text;,watch battery=chart+icon+text;heart rate=chart+icon+text;,none;,2,,,,watch battery;heart rate;,watch battery;,discrete donut;,donut+pictogram;,background;container;,heart rate;watch battery;decoration;,skeuomorphism,Futuristic;,hybrid,1,Facer,Premium,,donut+pictogram;
40,1,14/03/2021 22:00,40,yes,Straton Yacht Racer,FALSE,Watchmaker Series;straton;chronograph;analog;,https://www.facer.io/watchface/C4IgvfxmAu?watchModel=montblancsummit,,time;date;stopwatch;,none;,none;,none;,0,,,,minute;,no;,no;,no;,logo;screen border;container;,no;,skeuomorphism,Watchmaker Series;straton;chronograph;analog;,analog,2,Facer,Premium,,no;
41,1,14/03/2021 22:00,41,yes,VIENNA STUDIOS | Cool Asia,FALSE,Luxury;luxury;rich;exclusive;vienna;studios;viennastudios;mechanical;classic;steps;time;date;best;top;most;analog;business;,https://www.facer.io/watchface/CEtBdl3eG1?watchModel=armaniconnected,,time;date;day;watch battery;,chart;,watch battery=chart;,none;,1,,,,watch battery;,watch battery;,bar;,bar;,logo;container;,no;,skeuomorphism,Luxury;luxury;rich;exclusive;vienna;studios;viennastudios;mechanical;classic;steps;time;date;best;top;most;analog;business;,analog,1,Facer,Premium,,bar;
42,1,14/03/2021 22:00,42,yes,STRATON CLASSIC DRIVER,FALSE,Watchmaker Series;straton;racing;chronograph;analog;,https://www.facer.io/watchface/TDv4x0y3qk?watchModel=fossil5thgen,,time;date;stopwatch;,none;,none,none;,0,,,,second;,no;,no;,no;,logo;background;container;,no;,skeuomorphism,Watchmaker Series;straton;racing;chronograph;analog;,analog,1,Facer,Premium,,no;
43,1,14/03/2021 22:00,43,yes,AG Pilot 800,FALSE,Elegant;elegant;style;stylish;fashion;moon;lunar;luxury;exclusive;,https://www.facer.io/watchface/Zq3PGXrx3s?watchModel=galaxywatch3,,time;date;day;compass;temperature;air pressure;watch battery;steps;moon;,icon+text;text;text;text;text;icon;,compass=icon+text;temperature=text;air pressure=text;watch battery=text;steps=text;moon=icon;,moon;,6,,,,compass;sunrise;sunset;moon;,watch battery;,text;,no;,logo;background;container;,no;,semi-flat,Elegant;elegant;style;stylish;fashion;moon;lunar;luxury;exclusive;,analog,3,Facer,Premium,,no;
44,1,14/03/2021 22:00,44,yes,MINER,FALSE,Lifestyle;,https://www.facer.io/watchface/9ufROJ0yhy?watchModel=suunto7,,time;date;day;altitude;watch battery;heart rate;steps;,icon+text;chart+text;icon+text;icon+text;,altitude=icon+text;watch battery=chart+text;heart rate=icon+text;steps=icon+text;,none;,4,,,,watch battery;,watch battery;,discrete arc+text;,arc+pictogram;,logo;background;container;,decoration;,skeuomorphism,Lifestyle;,digital,1,Facer,Premium,,arc+pictogram;
45,1,14/03/2021 22:00,45,yes,Ghost X3,FALSE,Military;realistic;dark;black;gray;stealth;simple;clear;large;illuminated;lights;lit;hybrid;analog;digital;battery;date;weather;steps;heart;bpm;health;custom;military;24hour;,https://www.facer.io/watchface/yiI3zkLqyo?watchModel=armaniconnected,,time;date;day;watch battery;heart rate;weather;temperature;steps;,icon;icon+text;text;icon+text;text;,watch battery=icon;weather=icon+text;steps=text;heart rate=icon+text;temperature=text;,compass;,5,,,,hour;watch battery;,watch battery;,bar within icon+text;,icon+bar;,logo;screen border;container;,no;,semi-flat,Military;realistic;dark;black;gray;stealth;simple;clear;large;illuminated;lights;lit;hybrid;analog;digital;battery;date;weather;steps;heart;bpm;health;custom;military;24hour;,hybrid,1,Facer,Premium,,icon+bar;
47,1,14/03/2021 22:00,47,yes,CFW Hybrid Z02,FALSE,Elegant;hybrid;ana-digi;moonphases;,https://www.facer.io/watchface/cLOSGLmskJ?watchModel=galaxywatch3,,time;date;day;watch battery;humidity;weather;temperature;moon;heart rate;steps;,text;chart+icon;icon;text;chart;icon+text;chart+icon+text;,watch battery=text;humidity=chart+icon;weather=icon;temperature=text;moon=chart;heart rate=icon+text;steps=chart+icon+text;,weather;,7,,,,humidity;steps;,watch battery;steps;humidity;,text;donut;donut;,donut;,logo;background;container;,heart rate;,skeuomorphism,Elegant;hybrid;ana-digi;moonphases;,hybrid,1,Facer,Premium,,donut;
49,1,14/03/2021 22:00,49,yes,Black Chronos,FALSE,Abstract;analog;black;chronometer;automatic;themeable;minimal;minimalist;simple;day;date;chorograph;,https://www.facer.io/watchface/AYnwoCHFCN?watchModel=moto360,,time;date;day;watch battery;stopwatch;,chart;,watch battery=chart;,none;,1,,,,minute;watch battery;,watch battery;,gauge;,gauge;,logo;container;,no;,semi-flat,Abstract;analog;black;chronometer;automatic;themeable;minimal;minimalist;simple;day;date;chorograph;,analog,1,Facer,Premium,,gauge;
50,1,14/03/2021 22:00,50,yes,LAZ | Quattro Wave,FALSE,Futuristic;date;steps;calories;distance;phone;contacts;settings;trending;faster;moon phase;weather;temperature;mike;sunset;sunrise;alarm;power;battery;digital;lcd,https://www.facer.io/watchface/adSVCMMpBt?watchModel=movadoconnect,,time;date;day;weather;temperature;moon;heart rate;distance;calories;sun;watch battery;steps;,icon+text;text;chart;icon+text;icon+text;icon+text;icon+text;text;icon+text;,weather=icon+text;temperature=text;moon=chart;heart rate=icon+text;distance=icon+text;calories=icon+text;sun=icon+text;watch battery=text;steps=icon+text;,none;,9,,,,watch battery;steps;,watch battery;steps;,arc+text;arc;,arc;,logo;container;,decoration;,flat,Futuristic;date;steps;calories;distance;phone;contacts;settings;trending;faster;moon phase;weather;temperature;mike;sunset;sunrise;alarm;power;battery;digital;lcd,digital,1,Facer,Premium,,arc;
52,1,14/03/2021 22:00,52,yes,ENERGUIDE,FALSE,Lifestyle;,https://www.facer.io/watchface/H7fv5xeBBV?watchModel=fossilgen5e,,time;date;day;heart rate;watch battery;steps;,icon+text;chart+text;icon+text;,heart rate=icon+text;watch battery=chart+text;steps=icon+text;,none;,3,,,,watch battery;,watch battery;,discrete donut+text;,donut+pictogram;,background;container;,heart rate;decoration;,skeuomorphism,Lifestyle;,digital,4,Facer,Premium,,donut+pictogram;
53,1,14/03/2021 22:00,53,yes,DARKMARK,FALSE,Lifestyle;,https://www.facer.io/watchface/qlqOyNTBxk?watchModel=suunto7,,time;date;day;temperature;watch battery;heart rate;steps;,text;chart+text;text;text;,temperature=text;watch battery=chart+text;heart rate=text;steps=text;,none;,4,,,,watch battery;,watch battery;,text;,icon+bar+pictogram;,logo;background;container;,decoration;,skeuomorphism,Lifestyle;,digital,1,Facer,Premium,,icon+bar+pictogram;
55,1,14/03/2021 22:00,55,yes,CONTROL N +,FALSE,Abstract;abstract;new;gamer;black;cool;,https://www.facer.io/watchface/3qb693ZZDk?watchModel=moto3602,,time;date;watch battery;,chart+text;,watch battery=chart+text;,none;,1,,,,watch battery;,watch battery;,bar within icon+text;,icon+bar;,logo;background;design;,decoration;,semi-flat,Abstract;abstract;new;gamer;black;cool;,digital,1,Facer,Premium,,icon+bar;
56,1,14/03/2021 22:00,56,yes,PUREPLEX ,FALSE,Lifestyle;,https://www.facer.io/watchface/SwpmiW7GbU?watchModel=armaniconnected,,time;date;day;steps;heart rate;watch battery;,text;text;text;,steps=text;heart rate=text;watch battery=text;,none;,3,,,,watch battery;,watch battery;,discrete arc+text;,arc+pictogram;,background;screen border;container;,decoration;,skeuomorphism,Lifestyle;,hybrid,3,Facer,Premium,,arc+pictogram;
57,1,14/03/2021 22:00,57,yes,BA | Countach 3.0,FALSE,Realistic;heart;calories;steps;km;miles;moon;weather;,https://www.facer.io/watchface/lgrSK0THZ4?watchModel=galaxywatch3,,time;date;day;steps;weather;moon;watch battery;phone battery;,text;icon;chart;chart+icon;chart+icon;,steps=text;weather=icon;moon=chart;watch battery=chart+icon;phone battery=chart+icon;,weather;,5,,,,watch battery;phone battery;,watch battery;phone battery;,discrete arc;discrete arc;,arc+pictogram;,logo;background;container;,no;,skeuomorphism,Realistic;heart;calories;steps;km;miles;moon;weather;,digital,1,Facer,Premium,,arc+pictogram;
58,1,14/03/2021 22:00,58,yes,CFW Hybrid Z01,FALSE,Elegant;hybrid;moonphases;colors;,https://www.facer.io/watchface/oyZo73wp0m?watchModel=galaxywatch3,,time;date;moon;watch battery;,chart;text;,moon=chart;watch battery=text;,none;,2,,,,no;,watch battery;,text;,no;,logo;background;container;,no;,skeuomorphism,Elegant;hybrid;moonphases;colors;,analog,1,Facer,Premium,,no;
59,1,14/03/2021 22:00,59,yes,BA | Abduction,FALSE,Fun;,https://www.facer.io/watchface/1Uz977Opud?watchModel=galaxywatch3,,time;watch battery;steps;calories;,chart;text;text;,watch battery=chart;steps=text;calories=text;,none;,3,,,,no;,no;,no;,no;,background;screen border;,decoration;,flat,Fun;,digital,4,Facer,Premium,,no;
60,1,14/03/2021 22:00,60,yes,Bold Steps - Black Themes,FALSE,Abstract;analog;elegant;luxury;realistic;simple;date;aod;themeable;app;launcher;,https://www.facer.io/watchface/lm8o1sHELK?watchModel=moto360,,time;date;watch battery;steps;,chart+icon;chart+icon;,watch battery=chart+icon;steps=chart+icon;,none;,2,,,,watch battery;steps;,watch battery;steps;,gauge;gauge;,gauge;,logo;,no;,flat,Abstract;analog;elegant;luxury;realistic;simple;date;aod;themeable;app;launcher;,analog,1,Facer,Premium,,gauge;
62,1,14/03/2021 22:00,62,yes,HaDe DS 160 Pro v2 ,FALSE,Geek;hade ds;,https://www.facer.io/watchface/t2OANkUKK4?watchModel=ticwatchs2glacier,,time;date;day;watch battery;sun;steps;heart rate;moon;,chart;text;text;text;chart;,watch battery=chart;sun=text;steps=text;heart rate=text;moon=chart;,none;,5,,,,second;watch battery;millisecond;,watch battery;,arc;,arc;,container;,no;,semi-flat,Geek;hade ds;,digital,1,Facer,Premium,,arc;
63,1,14/03/2021 22:00,63,yes,Aviator Mk.1 Spitfire (Black),FALSE,Abstract;analog;luxury;realistic;aviator;pilot;date;battery;charge;steps;day;digital;month;12/24;aod;compass;temperature;pressure;supermarine;spitfire;,https://www.facer.io/watchface/WhxNXJBL9R?watchModel=moto360,,time;date;day;air pressure;watch battery;steps;,chart+icon;chart+icon+text;chart+icon+text;,air pressure=chart+icon;watch battery=chart+icon+text;steps=chart+icon+text;,none;,3,,,,watch battery;barometer;steps;day;,watch battery;steps;,gauge+text;gauge;,gauge;,logo;container;design;,no;,skeuomorphism,Abstract;analog;luxury;realistic;aviator;pilot;date;battery;charge;steps;day;digital;month;12/24;aod;compass;temperature;pressure;supermarine;spitfire;,hybrid,2,Facer,Premium,,gauge;
64,1,14/03/2021 22:00,64,yes,CLOCKWORK,FALSE,fun;,https://www.facer.io/watchface/ZE0lD19Q8g?watchModel=fossilqexplorist,,time;date;day;watch battery;,chart+text;,watch battery=chart+text;,none;,1,,,,watch battery;,watch battery;,gauge+text;,gauge;,background;container;,decoration;watch battery;,skeuomorphism,fun;,digital,4,Facer,Premium,,gauge;
65,1,14/03/2021 22:00,65,yes,Vintage St. Patrick's Day,FALSE,Illustrated;st' patrick's day;interactive;shamrock;green;vintage;,https://www.facer.io/watchface/U0ndAf91lF?watchModel=fossilgen5e,,time;date;day;weather;watch battery;,icon;text;,weather=icon;watch battery=text;,weather;,2,,,,no;,watch battery;,text;,no;,logo;screen border;container;design;,no;,skeuomorphism,Illustrated;st' patrick's day;interactive;shamrock;green;vintage;,analog,2,Facer,Premium,,no;
